Ceremony,Year,Class,CanonicalCategory,Category,Film,FilmId,Name,Nominees,NomineeIds,Winner,Detail
80,2007,SciTech,SCIENTIFIC AND TECHNICAL AWARD (Technical Achievement Award),SCIENTIFIC AND TECHNICAL AWARD (Technical Achievement Award),,,,Jonathan M. Cohen|Dr. Jerry Tessendorf|Dr. Jeroen Molemaker|Michael Kowalski,nm1654208|nm0856339|?|nm2873165,TRUE,Digital Imaging Technology
80,2007,SciTech,SCIENTIFIC AND TECHNICAL AWARD (Technical Achievement Award),SCIENTIFIC AND TECHNICAL AWARD (Technical Achievement Award),,,,Duncan Brinsmead|Jos Stam|Julia Pakalns|Martin Werner,,TRUE,Digital Imaging Technology
80,2007,SciTech,SCIENTIFIC AND TECHNICAL AWARD (Technical Achievement Award),SCIENTIFIC AND TECHNICAL AWARD (Technical Achievement Award),,,,Stephan Trojansky|Thomas Ganshorn|Oliver Pilarski,nm1176756|nm1673446|nm2174779,TRUE,Digital Imaging Technology
80,2007,Special,AWARD OF COMMENDATION,AWARD OF COMMENDATION,,,,Jonathan Erland,nm0259510,TRUE,
80,2007,Special,JOHN A. BONNER MEDAL OF COMMENDATION,JOHN A. BONNER MEDAL OF COMMENDATION,,,,David Inglish,nm0408890,TRUE,
81,2008,Acting,ACTOR IN A LEADING ROLE,ACTOR IN A LEADING ROLE,The Visitor,tt0857191,Richard Jenkins,Richard Jenkins,nm0420955,,Walter
81,2008,Acting,ACTOR IN A LEADING ROLE,ACTOR IN A LEADING ROLE,Frost/Nixon,tt0870111,Frank Langella,Frank Langella,nm0001449,,Richard Nixon
81,2008,Acting,ACTOR IN A LEADING ROLE,ACTOR IN A LEADING ROLE,Milk,tt1013753,Sean Penn,Sean Penn,nm0000576,TRUE,Harvey Milk
81,2008,Acting,ACTOR IN A LEADING ROLE,ACTOR IN A LEADING ROLE,The Curious Case of Benjamin Button,tt0421715,Brad Pitt,Brad Pitt,nm0000093,,Benjamin Button
81,2008,Acting,ACTOR IN A LEADING ROLE,ACTOR IN A LEADING ROLE,The Wrestler,tt1125849,Mickey Rourke,Mickey Rourke,nm0000620,,Randy
81,2008,Acting,ACTOR IN A SUPPORTING ROLE,ACTOR IN A SUPPORTING ROLE,Milk,tt1013753,Josh Brolin,Josh Brolin,nm0000982,,Dan White
81,2008,Acting,ACTOR IN A SUPPORTING ROLE,ACTOR IN A SUPPORTING ROLE,Tropic Thunder,tt0942385,Robert Downey Jr.,Robert Downey Jr.,nm0000375,,Kirk Lazarus
81,2008,Acting,ACTOR IN A SUPPORTING ROLE,ACTOR IN A SUPPORTING ROLE,Doubt,tt0918927,Philip Seymour Hoffman,Philip Seymour Hoffman,nm0000450,,Father Brendan Flynn
81,2008,Acting,ACTOR IN A SUPPORTING ROLE,ACTOR IN A SUPPORTING ROLE,The Dark Knight,tt0468569,Heath Ledger,Heath Ledger,nm0005132,TRUE,Joker
81,2008,Acting,ACTOR IN A SUPPORTING ROLE,ACTOR IN A SUPPORTING ROLE,Revolutionary Road,tt0959337,Michael Shannon,Michael Shannon,nm0788335,,John Givings
81,2008,Acting,ACTRESS IN A LEADING ROLE,ACTRESS IN A LEADING ROLE,Rachel Getting Married,tt1084950,Anne Hathaway,Anne Hathaway,nm0004266,,Kym
81,2008,Acting,ACTRESS IN A LEADING ROLE,ACTRESS IN A LEADING ROLE,Changeling,tt0824747,Angelina Jolie,Angelina Jolie,nm0001401,,Christine Collins
81,2008,Acting,ACTRESS IN A LEADING ROLE,ACTRESS IN A LEADING ROLE,Frozen River,tt0978759,Melissa Leo,Melissa Leo,nm0502425,,Ray Eddy
81,2008,Acting,ACTRESS IN A LEADING ROLE,ACTRESS IN A LEADING ROLE,Doubt,tt0918927,Meryl Streep,Meryl Streep,nm0000658,,Sister Aloysius Beauvier
81,2008,Acting,ACTRESS IN A LEADING ROLE,ACTRESS IN A LEADING ROLE,The Reader,tt0976051,Kate Winslet,Kate Winslet,nm0000701,TRUE,Hanna Schmitz
81,2008,Acting,ACTRESS IN A SUPPORTING ROLE,ACTRESS IN A SUPPORTING ROLE,Doubt,tt0918927,Amy Adams,Amy Adams,nm0010736,,Sister James
81,2008,Acting,ACTRESS IN A SUPPORTING ROLE,ACTRESS IN A SUPPORTING ROLE,Vicky Cristina Barcelona,tt0497465,Penélope Cruz,Penélope Cruz,nm0004851,TRUE,Maria Elena
81,2008,Acting,ACTRESS IN A SUPPORTING ROLE,ACTRESS IN A SUPPORTING ROLE,Doubt,tt0918927,Viola Davis,Viola Davis,nm0205626,,Mrs. Miller
81,2008,Acting,ACTRESS IN A SUPPORTING ROLE,ACTRESS IN A SUPPORTING ROLE,The Curious Case of Benjamin Button,tt0421715,Taraji P. Henson,Taraji P. Henson,nm0378245,,Queenie
81,2008,Acting,ACTRESS IN A SUPPORTING ROLE,ACTRESS IN A SUPPORTING ROLE,The Wrestler,tt1125849,Marisa Tomei,Marisa Tomei,nm0000673,,Cassidy
81,2008,Title,ANIMATED FEATURE FILM,ANIMATED FEATURE FILM,Bolt,tt0397892,Chris Williams and Byron Howard,Chris Williams|Byron Howard,nm0930261|nm0397174,,
81,2008,Title,ANIMATED FEATURE FILM,ANIMATED FEATURE FILM,Kung Fu Panda,tt0441773,John Stevenson and Mark Osborne,John Stevenson|Mark Osborne,nm0828970|nm0651706,,
81,2008,Title,ANIMATED FEATURE FILM,ANIMATED FEATURE FILM,WALL-E,tt0910970,Andrew Stanton,Andrew Stanton,nm0004056,TRUE,
81,2008,Production,ART DIRECTION,ART DIRECTION,Changeling,tt0824747,Art Direction: James J. Murakami; Set Decoration: Gary Fettis,James J. Murakami|Gary Fettis,nm0613468|nm0275361,,
81,2008,Production,ART DIRECTION,ART DIRECTION,The Curious Case of Benjamin Button,tt0421715,Art Direction: Donald Graham Burt; Set Decoration: Victor J. Zolfo,Donald Graham Burt|Victor J. Zolfo,nm0123426|nm0957672,TRUE,
81,2008,Production,ART DIRECTION,ART DIRECTION,The Dark Knight,tt0468569,Art Direction: Nathan Crowley; Set Decoration: Peter Lando,Nathan Crowley|Peter Lando,nm0189769|nm0484885,,
81,2008,Production,ART DIRECTION,ART DIRECTION,The Duchess,tt0864761,Art Direction: Michael Carlin; Set Decoration: Rebecca Alleway,Michael Carlin|Rebecca Alleway,nm0137528|nm0021284,,
81,2008,Production,ART DIRECTION,ART DIRECTION,Revolutionary Road,tt0959337,Art Direction: Kristi Zea; Set Decoration: Debra Schutt,Kristi Zea|Debra Schutt,nm0954034|nm0776897,,
81,2008,Production,CINEMATOGRAPHY,CINEMATOGRAPHY,Changeling,tt0824747,Tom Stern,Tom Stern,nm0827869,,
81,2008,Production,CINEMATOGRAPHY,CINEMATOGRAPHY,The Curious Case of Benjamin Button,tt0421715,Claudio Miranda,Claudio Miranda,nm0592073,,
81,2008,Production,CINEMATOGRAPHY,CINEMATOGRAPHY,The Dark Knight,tt0468569,Wally Pfister,Wally Pfister,nm0002892,,
81,2008,Production,CINEMATOGRAPHY,CINEMATOGRAPHY,The Reader,tt0976051,Chris Menges and Roger Deakins,Chris Menges|Roger Deakins,nm0579580|nm0005683,,
